epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3336.11,1.006,1.03958,1.39768,0.74227,0.76867,0.78885,0.59473,0.8495,0.68612,1.27002,0.000455875,0.000455875,0.000455875
43,3413.46,1.00993,1.01669,1.39542,0.77916,0.72478,0.78359,0.6004,0.82003,0.68166,1.23001,0.00045175,0.00045175,0.00045175
44,3490.94,1.00175,1.01252,1.38669,0.76953,0.74136,0.7933,0.61031,0.83149,0.68092,1.23821,0.000447625,0.000447625,0.000447625
45,3568.4,1.0022,1.00898,1.39294,0.77563,0.73781,0.78716,0.61296,0.82632,0.67518,1.23457,0.0004435,0.0004435,0.0004435
46,3646.03,1.00533,1.00142,1.38635,0.76274,0.76868,0.80228,0.61148,0.82701,0.6619,1.25029,0.000439375,0.000439375,0.000439375
47,3723.43,0.99755,1.01147,1.38305,0.79846,0.71894,0.78762,0.59487,0.81886,0.68004,1.2315,0.00043525,0.00043525,0.00043525
48,3800.52,0.98938,0.98449,1.38024,0.76437,0.75623,0.79782,0.60932,0.83466,0.65405,1.24536,0.000431125,0.000431125,0.000431125
49,3877.93,0.98669,0.98989,1.37795,0.79567,0.78334,0.83583,0.6349,0.85899,0.64719,1.25595,0.000427,0.000427,0.000427
50,3955.48,0.96498,0.95855,1.36907,0.76142,0.81091,0.81186,0.62723,0.82757,0.63913,1.23156,0.000422875,0.000422875,0.000422875
51,4032.7,0.97438,0.96008,1.36799,0.80882,0.75957,0.81992,0.62353,0.81509,0.65739,1.23146,0.00041875,0.00041875,0.00041875
52,4109.91,0.96977,0.94495,1.35852,0.78617,0.80121,0.82659,0.63226,0.81112,0.631,1.21823,0.000414625,0.000414625,0.000414625
53,4187.08,0.97655,0.96367,1.37077,0.82651,0.7498,0.79862,0.61643,0.79295,0.64529,1.203,0.0004105,0.0004105,0.0004105
54,4264.13,0.96677,0.94712,1.3692,0.8156,0.75972,0.80694,0.60626,0.85626,0.62665,1.24053,0.000406375,0.000406375,0.000406375
55,4341.55,0.96092,0.9317,1.35725,0.81648,0.76096,0.80526,0.62024,0.82641,0.62444,1.21302,0.00040225,0.00040225,0.00040225
56,4418.64,0.9572,0.9384,1.35162,0.82688,0.75591,0.8139,0.63347,0.80318,0.63183,1.20346,0.000398125,0.000398125,0.000398125
57,4495.93,0.95468,0.94325,1.3552,0.82461,0.78751,0.82554,0.63274,0.79977,0.64084,1.20366,0.000394,0.000394,0.000394
