image_id,file,model,num_gt,num_pred,time_sec
4947,000333_jpg.rf.q6R6kym5HS33p2z7VFxh.jpg,YOLO fine-tuned,1,5,0.082755
4947,000333_jpg.rf.q6R6kym5HS33p2z7VFxh.jpg,OWL-ViT,1,1,0.041419
4947,000333_jpg.rf.q6R6kym5HS33p2z7VFxh.jpg,OWLv2,1,1,0.183100
4947,000333_jpg.rf.q6R6kym5HS33p2z7VFxh.jpg,Grounding DINO,1,24,0.332817
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,YOLO fine-tuned,1,3,0.020805
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,OWL-ViT,1,1,0.039629
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,OWLv2,1,1,0.185669
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,Grounding DINO,1,17,0.232179
3242,000576_jpg.rf.BFoB611WfFPCaVSdBGWN.jpg,YOLO fine-tuned,2,14,0.019970
3242,000576_jpg.rf.BFoB611WfFPCaVSdBGWN.jpg,OWL-ViT,2,5,0.040224
3242,000576_jpg.rf.BFoB611WfFPCaVSdBGWN.jpg,OWLv2,2,9,0.183093
3242,000576_jpg.rf.BFoB611WfFPCaVSdBGWN.jpg,Grounding DINO,2,60,0.325893
2184,000360_jpg.rf.kEihFgwmBkkEq4WrleV7.jpg,YOLO fine-tuned,1,2,0.019740
2184,000360_jpg.rf.kEihFgwmBkkEq4WrleV7.jpg,OWL-ViT,1,3,0.036739
2184,000360_jpg.rf.kEihFgwmBkkEq4WrleV7.jpg,OWLv2,1,9,0.183727
2184,000360_jpg.rf.kEihFgwmBkkEq4WrleV7.jpg,Grounding DINO,1,35,0.258318
1882,Hammer (914)_JPEG.rf.aB900Gh7SiEVFBIzDOrv.JPEG,YOLO fine-tuned,1,1,0.020617
1882,Hammer (914)_JPEG.rf.aB900Gh7SiEVFBIzDOrv.JPEG,OWL-ViT,1,5,0.037506
1882,Hammer (914)_JPEG.rf.aB900Gh7SiEVFBIzDOrv.JPEG,OWLv2,1,3,0.184309
1882,Hammer (914)_JPEG.rf.aB900Gh7SiEVFBIzDOrv.JPEG,Grounding DINO,1,18,0.247369
555,000135_jpg.rf.pDDmNLKWLJ7dlE3fNro5.jpg,YOLO fine-tuned,1,1,0.018958
555,000135_jpg.rf.pDDmNLKWLJ7dlE3fNro5.jpg,OWL-ViT,1,1,0.038865
555,000135_jpg.rf.pDDmNLKWLJ7dlE3fNro5.jpg,OWLv2,1,1,0.184492
555,000135_jpg.rf.pDDmNLKWLJ7dlE3fNro5.jpg,Grounding DINO,1,17,0.268668
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,YOLO fine-tuned,2,10,0.019616
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,OWL-ViT,2,32,0.044265
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,OWLv2,2,16,0.186248
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,Grounding DINO,2,46,0.274639
2110,000406_jpg.rf.jQAC0oStuaTmsrBexXvR.jpg,YOLO fine-tuned,1,8,0.079449
2110,000406_jpg.rf.jQAC0oStuaTmsrBexXvR.jpg,OWL-ViT,1,8,0.039296
2110,000406_jpg.rf.jQAC0oStuaTmsrBexXvR.jpg,OWLv2,1,20,0.183481
2110,000406_jpg.rf.jQAC0oStuaTmsrBexXvR.jpg,Grounding DINO,1,41,0.290722
3808,000575_jpg.rf.HeOqKtVvs5FctissJFGW.jpg,YOLO fine-tuned,3,18,0.018872
3808,000575_jpg.rf.HeOqKtVvs5FctissJFGW.jpg,OWL-ViT,3,14,0.037447
3808,000575_jpg.rf.HeOqKtVvs5FctissJFGW.jpg,OWLv2,3,29,0.183916
3808,000575_jpg.rf.HeOqKtVvs5FctissJFGW.jpg,Grounding DINO,3,71,0.295412
4345,000312_jpg.rf.9gOh0LzWDI5BlSqcIYKo.jpg,YOLO fine-tuned,1,3,0.021931
4345,000312_jpg.rf.9gOh0LzWDI5BlSqcIYKo.jpg,OWL-ViT,1,2,0.040584
4345,000312_jpg.rf.9gOh0LzWDI5BlSqcIYKo.jpg,OWLv2,1,2,0.183881
4345,000312_jpg.rf.9gOh0LzWDI5BlSqcIYKo.jpg,Grounding DINO,1,18,0.221565
4973,p--50-_jpg.rf.EYHLDdpoFE47AVOtaSv7.jpg,YOLO fine-tuned,1,1,0.019381
4973,p--50-_jpg.rf.EYHLDdpoFE47AVOtaSv7.jpg,OWL-ViT,1,0,0.042032
4973,p--50-_jpg.rf.EYHLDdpoFE47AVOtaSv7.jpg,OWLv2,1,1,0.187661
4973,p--50-_jpg.rf.EYHLDdpoFE47AVOtaSv7.jpg,Grounding DINO,1,25,0.224717
1879,000014_jpg.rf.ZkemvpjqpGpjvxN8GG3b.jpg,YOLO fine-tuned,1,4,0.018656
1879,000014_jpg.rf.ZkemvpjqpGpjvxN8GG3b.jpg,OWL-ViT,1,5,0.035453
1879,000014_jpg.rf.ZkemvpjqpGpjvxN8GG3b.jpg,OWLv2,1,3,0.183963
1879,000014_jpg.rf.ZkemvpjqpGpjvxN8GG3b.jpg,Grounding DINO,1,24,0.261956
4746,Hammer (1822)_JPEG.rf.C1CRfW7dlPJDCXHP184U.JPEG,YOLO fine-tuned,3,13,0.020581
4746,Hammer (1822)_JPEG.rf.C1CRfW7dlPJDCXHP184U.JPEG,OWL-ViT,3,33,0.040149
4746,Hammer (1822)_JPEG.rf.C1CRfW7dlPJDCXHP184U.JPEG,OWLv2,3,25,0.183138
4746,Hammer (1822)_JPEG.rf.C1CRfW7dlPJDCXHP184U.JPEG,Grounding DINO,3,74,0.313776
2232,Hammer (1091)_JPEG.rf.AV9sOVfCwX9L2V5DcBQ4.JPEG,YOLO fine-tuned,1,2,0.034479
