image_id,file,model,num_gt,num_pred,time_sec
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,YOLO fine-tuned,1,1,0.025949
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,OWL-ViT,1,2,0.037350
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,OWLv2,1,2,0.195518
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,Grounding DINO,1,15,0.297648
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,YOLO fine-tuned,1,2,0.021324
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,OWL-ViT,1,3,0.042662
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,OWLv2,1,1,0.200689
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,Grounding DINO,1,23,0.247221
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,YOLO fine-tuned,1,14,0.018626
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,OWL-ViT,1,15,0.037303
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,OWLv2,1,26,0.197892
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,Grounding DINO,1,60,0.342146
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,YOLO fine-tuned,1,5,0.018897
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,OWL-ViT,1,2,0.038703
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,OWLv2,1,4,0.195970
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,Grounding DINO,1,17,0.286590
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,YOLO fine-tuned,1,1,0.020087
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,OWL-ViT,1,1,0.042950
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,OWLv2,1,4,0.195061
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,Grounding DINO,1,28,0.246931
34,000042_jpg.rf.2hzQxKkdeWW2V8VR63fQ.jpg,YOLO fine-tuned,1,1,0.018881
34,000042_jpg.rf.2hzQxKkdeWW2V8VR63fQ.jpg,OWL-ViT,1,3,0.038963
34,000042_jpg.rf.2hzQxKkdeWW2V8VR63fQ.jpg,OWLv2,1,8,0.195317
34,000042_jpg.rf.2hzQxKkdeWW2V8VR63fQ.jpg,Grounding DINO,1,22,0.252379
184,000004_jpg.rf.XBdZEYcLZx7RSg191Bjs.jpg,YOLO fine-tuned,8,21,0.018504
184,000004_jpg.rf.XBdZEYcLZx7RSg191Bjs.jpg,OWL-ViT,8,24,0.038086
184,000004_jpg.rf.XBdZEYcLZx7RSg191Bjs.jpg,OWLv2,8,18,0.198603
184,000004_jpg.rf.XBdZEYcLZx7RSg191Bjs.jpg,Grounding DINO,8,33,0.250357
209,000018_jpg.rf.kntQLBiuSVPEmoz6obHs.jpg,YOLO fine-tuned,1,1,0.085275
209,000018_jpg.rf.kntQLBiuSVPEmoz6obHs.jpg,OWL-ViT,1,3,0.039169
209,000018_jpg.rf.kntQLBiuSVPEmoz6obHs.jpg,OWLv2,1,1,0.198777
209,000018_jpg.rf.kntQLBiuSVPEmoz6obHs.jpg,Grounding DINO,1,22,0.349206
237,000024_jpg.rf.pRr7CuEJ2T8O9VJUW5Bs.jpg,YOLO fine-tuned,1,2,0.081594
237,000024_jpg.rf.pRr7CuEJ2T8O9VJUW5Bs.jpg,OWL-ViT,1,2,0.041390
237,000024_jpg.rf.pRr7CuEJ2T8O9VJUW5Bs.jpg,OWLv2,1,3,0.200799
237,000024_jpg.rf.pRr7CuEJ2T8O9VJUW5Bs.jpg,Grounding DINO,1,25,0.279220
63,000025_jpg.rf.sQbq9ARxqLmLNw5UKwLb.jpg,YOLO fine-tuned,1,2,0.019431
63,000025_jpg.rf.sQbq9ARxqLmLNw5UKwLb.jpg,OWL-ViT,1,8,0.039238
63,000025_jpg.rf.sQbq9ARxqLmLNw5UKwLb.jpg,OWLv2,1,52,0.198045
63,000025_jpg.rf.sQbq9ARxqLmLNw5UKwLb.jpg,Grounding DINO,1,47,0.247003
11,000014_jpg.rf.xT0pKLI8WaHYASVbBKe0.jpg,YOLO fine-tuned,1,4,0.018029
11,000014_jpg.rf.xT0pKLI8WaHYASVbBKe0.jpg,OWL-ViT,1,5,0.038215
11,000014_jpg.rf.xT0pKLI8WaHYASVbBKe0.jpg,OWLv2,1,3,0.195990
11,000014_jpg.rf.xT0pKLI8WaHYASVbBKe0.jpg,Grounding DINO,1,24,0.258031
200,000029_jpg.rf.ksViHqYGXsm3T5ENqvoV.jpg,YOLO fine-tuned,1,1,0.017882
200,000029_jpg.rf.ksViHqYGXsm3T5ENqvoV.jpg,OWL-ViT,1,3,0.037993
200,000029_jpg.rf.ksViHqYGXsm3T5ENqvoV.jpg,OWLv2,1,2,0.200881
200,000029_jpg.rf.ksViHqYGXsm3T5ENqvoV.jpg,Grounding DINO,1,25,0.272484
165,000028_jpg.rf.SybkOfjN65ZMTwZCgFtm.jpg,YOLO fine-tuned,1,2,0.035971
165,000028_jpg.rf.SybkOfjN65ZMTwZCgFtm.jpg,OWL-ViT,1,2,0.043429
165,000028_jpg.rf.SybkOfjN65ZMTwZCgFtm.jpg,OWLv2,1,4,0.202690
165,000028_jpg.rf.SybkOfjN65ZMTwZCgFtm.jpg,Grounding DINO,1,30,0.249462
189,000013_jpg.rf.YZIbwk5CUZdDxHtnceIw.jpg,YOLO fine-tuned,1,1,0.020375
